epoch,segres-dice_focal-patch_train_loss,segres-dice_focal-patch_val_loss,unet-dice_ce-full_train_loss,unet-dice_ce-full_val_loss,unet-dice_focal-full_train_loss,unet-dice_focal-full_val_loss,unet-dice_focal-patch_train_loss,unet-dice_focal-patch_val_loss
0,0.9094759225845337,0.9368144869804382,1.734138011932373,1.6342213153839111,1.1925549507141113,1.093080997467041,1.135148048400879,1.0844786167144775
1,0.8524670004844666,0.8731865286827087,1.5984511375427246,1.6215277910232544,1.0668643712997437,1.0783320665359497,1.0348644256591797,1.071065902709961
2,0.8188021779060364,0.8368098139762878,1.5406502485275269,1.5500469207763672,1.0332789421081543,1.0419460535049438,0.9987972378730774,1.052668571472168
3,0.785655677318573,0.8296904563903809,1.502861738204956,1.5065126419067383,1.0075937509536743,1.0152955055236816,0.9734399318695068,1.031408429145813
4,0.7679203748703003,0.8152198791503906,1.481766700744629,1.493575930595398,0.9912320375442505,1.0085606575012207,0.9462333917617798,1.0421360731124878
5,0.7534289956092834,0.8105624914169312,1.4668447971343994,1.4714648723602295,0.9796930551528931,0.9929646849632263,0.9264443516731262,0.9942759275436401
6,0.7478278279304504,0.8015452027320862,1.449572205543518,1.456434726715088,0.9672053456306458,0.9781115055084229,0.9139590263366699,0.9936818480491638
7,0.7408073544502258,0.7966201901435852,1.4421992301940918,1.4561355113983154,0.9626660346984863,0.9775534868240356,0.9112247228622437,0.9874776601791382
8,0.737967848777771,0.7948671579360962,1.4378315210342407,1.4465917348861694,0.9605060815811157,0.9723909497261047,0.9005885720252991,0.9812219142913818
9,0.7383612990379333,0.7939790487289429,1.4402927160263062,1.4467592239379883,0.9617388844490051,0.9725591540336609,0.9080029726028442,0.9863784909248352
10,0.7364968061447144,0.7873125076293945,1.4444624185562134,1.4403951168060303,0.967423677444458,0.9659402370452881,0.9052551984786987,0.9808047413825989
11,0.7252315282821655,0.7672405242919922,1.4129998683929443,1.4218449592590332,0.9452758431434631,0.9530447125434875,0.8836546540260315,0.9581085443496704
12,0.7150325775146484,0.7660106420516968,1.406794548034668,1.4262436628341675,0.9378710389137268,0.9577174186706543,0.870197057723999,0.9589440822601318
13,0.702908456325531,0.7535393834114075,1.39580500125885,1.3983945846557617,0.9278960824012756,0.9316374063491821,0.8660234808921814,0.9511598348617554
14,0.6991599798202515,0.7536043524742126,1.3829628229141235,1.3989317417144775,0.9164963364601135,0.9318203926086426,0.862228512763977,0.9376587867736816
15,0.6968044638633728,0.7436180710792542,1.3741055727005005,1.3860396146774292,0.9103198647499084,0.9225232601165771,0.8528567552566528,0.9417502880096436
16,0.6891451478004456,0.74435955286026,1.3712793588638306,1.3802664279937744,0.9080355167388916,0.9161099791526794,0.8502838015556335,0.9232162833213806
17,0.6831684708595276,0.7370047569274902,1.3670926094055176,1.3709497451782227,0.9050619006156921,0.9130580425262451,0.8524188995361328,0.9166712164878845
18,0.6810706853866577,0.7382345199584961,1.3522511720657349,1.3633251190185547,0.8931972980499268,0.9054870009422302,0.8418300747871399,0.9207611083984375
19,0.6728443503379822,0.7274962663650513,1.346098780632019,1.3572242259979248,0.889494001865387,0.9053699970245361,0.8307977318763733,0.9132931232452393
