epoch,segres-dice_ce-full_train_loss,segres-dice_ce-full_val_loss,segres-dice_ce-patch_train_loss,segres-dice_ce-patch_val_loss,segres-dice_focal-full_train_loss,segres-dice_focal-full_val_loss,segres-dice_focal-patch_train_loss,segres-dice_focal-patch_val_loss,unet-dice_ce-full_train_loss,unet-dice_ce-full_val_loss,unet-dice_ce-patch_train_loss,unet-dice_ce-patch_val_loss,unet-dice_focal-full_train_loss,unet-dice_focal-full_val_loss,unet-dice_focal-patch_train_loss,unet-dice_focal-patch_val_loss
0,1.2616288661956787,1.230627179145813,1.353115439414978,1.3269084692001343,0.8542961478233337,0.8525299429893494,0.906075656414032,0.9054501056671143,1.668470859527588,1.628991961479187,1.7341349124908447,1.6342171430587769,1.1338021755218506,1.0777263641357422,1.1925549507141113,1.093080997467041
1,1.14622163772583,1.1761126518249512,1.235672116279602,1.2094285488128662,0.7782281041145325,0.8015612363815308,0.826604425907135,0.8260299563407898,1.51956307888031,1.5151126384735107,1.5984498262405396,1.6215169429779053,1.0188283920288086,1.0065336227416992,1.0668827295303345,1.0784707069396973
2,1.100812315940857,1.1286063194274902,1.1716959476470947,1.1706379652023315,0.7503843307495117,0.7756920456886292,0.7912389039993286,0.7958894968032837,1.4621366262435913,1.4776942729949951,1.5406469106674194,1.5501548051834106,0.9766806364059448,0.9937947988510132,1.033268690109253,1.042095422744751
3,1.075240969657898,1.0689748525619507,1.1441311836242676,1.1627901792526245,0.7365148663520813,0.7499569058418274,0.7744978070259094,0.7841255068778992,1.4284791946411133,1.4163638353347778,1.5028760433197021,1.506451964378357,0.9534295797348022,0.9492303729057312,1.0075759887695312,1.0148959159851074
4,1.0454485416412354,1.044046401977539,1.1257824897766113,1.1189473867416382,0.7205096483230591,0.7354397177696228,0.7635762095451355,0.7639322876930237,1.40768563747406,1.4022051095962524,1.4817763566970825,1.4935375452041626,0.9385956525802612,0.9335514903068542,0.9912335276603699,1.0088564157485962
5,1.0287553071975708,1.0141363143920898,1.115053415298462,1.110245704650879,0.7125371098518372,0.7177448868751526,0.758259654045105,0.760123610496521,1.3974839448928833,1.3864071369171143,1.4668567180633545,1.4713321924209595,0.9296070337295532,0.9236459136009216,0.979738712310791,0.9931403398513794
6,1.0032857656478882,1.0038740634918213,1.0954434871673584,1.109176516532898,0.6944231986999512,0.7152348756790161,0.7436254620552063,0.7581132650375366,1.38126540184021,1.3882949352264404,1.4495757818222046,1.4564447402954102,0.9158850312232971,0.9196490049362183,0.9672309756278992,0.9781854152679443
7,0.9937105774879456,1.010167121887207,1.086363673210144,1.0967464447021484,0.6896774768829346,0.7140436768531799,0.7386752963066101,0.7521580457687378,1.3771730661392212,1.3794810771942139,1.4421963691711426,1.4561020135879517,0.9123562574386597,0.9170771837234497,0.9626654386520386,0.9777243137359619
8,0.99500572681427,0.9929722547531128,1.086794376373291,1.0955594778060913,0.6917273998260498,0.7038381695747375,0.7391588687896729,0.7504585981369019,1.3739008903503418,1.3816378116607666,1.4378314018249512,1.446577787399292,0.9089746475219727,0.915859043598175,0.9604930877685547,0.9724779725074768
9,0.992405891418457,1.0012681484222412,1.0873383283615112,1.0837613344192505,0.6905627250671387,0.7057296633720398,0.7407639026641846,0.7457739114761353,1.3772990703582764,1.3767155408859253,1.4402917623519897,1.4467651844024658,0.9119293093681335,0.9134095311164856,0.961734414100647,0.972549319267273
10,0.9894535541534424,0.9680284261703491,1.0843170881271362,1.0782241821289062,0.691593587398529,0.6884968280792236,0.7406242489814758,0.738064706325531,1.3803966045379639,1.3677140474319458,1.4444679021835327,1.4404141902923584,0.9157719612121582,0.9081063270568848,0.9673761129379272,0.9659639596939087
11,0.9546551704406738,0.9572556614875793,1.0606666803359985,1.0592718124389648,0.6708136796951294,0.6885372400283813,0.7265905737876892,0.7313344478607178,1.3515955209732056,1.3549575805664062,1.4130231142044067,1.421860933303833,0.8937175273895264,0.897847056388855,0.9451975226402283,0.9528135657310486
12,0.9287086725234985,0.9149656891822815,1.0442594289779663,1.0547442436218262,0.6563292741775513,0.6584607362747192,0.7177509069442749,0.7246849536895752,1.3447190523147583,1.3475232124328613,1.4068082571029663,1.4267805814743042,0.8897322416305542,0.898669421672821,0.937865138053894,0.9574064612388611
13,0.9051180481910706,0.9109352827072144,1.0283783674240112,1.0256671905517578,0.6444184184074402,0.6598424911499023,0.7090323567390442,0.7135031223297119,1.3301770687103271,1.3223028182983398,1.395806908607483,1.3981565237045288,0.8808745741844177,0.8842046856880188,0.9279122948646545,0.931836724281311
14,0.879980206489563,0.8654828667640686,1.0127876996994019,1.0172228813171387,0.6294031739234924,0.6376586556434631,0.7005838751792908,0.7045438289642334,1.3129637241363525,1.3046647310256958,1.3829700946807861,1.3989795446395874,0.8701981902122498,0.8709105849266052,0.9164852499961853,0.9317950010299683
15,0.8565939664840698,0.850112795829773,0.9981696605682373,1.0100724697113037,0.6153049468994141,0.6321643590927124,0.6925237774848938,0.6972551941871643,1.298012614250183,1.3042491674423218,1.3741196393966675,1.3861312866210938,0.8615465760231018,0.8698501586914062,0.9102768301963806,0.9222696423530579
16,0.8433120250701904,0.8381808996200562,0.9921321868896484,0.9844855070114136,0.6104388236999512,0.620806872844696,0.6911566257476807,0.6912644505500793,1.29152250289917,1.2792845964431763,1.3712865114212036,1.3804551362991333,0.8603647947311401,0.8561816811561584,0.9080449342727661,0.916226863861084
17,0.8171109557151794,0.8093453049659729,0.976369321346283,0.9847094416618347,0.5941426753997803,0.6083790063858032,0.6813390851020813,0.6898449063301086,1.2787649631500244,1.2729047536849976,1.3671070337295532,1.3708117008209229,0.853050947189331,0.8511884212493896,0.9050514101982117,0.9129791259765625
18,0.7997140288352966,0.7983368635177612,0.9632478952407837,0.9702889323234558,0.5827664136886597,0.5971149802207947,0.6727128624916077,0.6829588413238525,1.259440302848816,1.2624247074127197,1.3522642850875854,1.3632597923278809,0.8394733667373657,0.848483681678772,0.8931809067726135,0.9055706262588501
19,0.7871409058570862,0.7828487157821655,0.9561505317687988,0.9597445130348206,0.5759545564651489,0.5894030332565308,0.6693516969680786,0.6733766794204712,1.248569369316101,1.2463957071304321,1.3461040258407593,1.3571524620056152,0.8337869644165039,0.8391324281692505,0.8894916772842407,0.9054470062255859
20,0.7772237062454224,0.7657429575920105,0.9489074945449829,0.9559152722358704,0.5713208913803101,0.5794470310211182,0.6660452485084534,0.670757532119751,1.2463247776031494,1.2477965354919434,1.3479547500610352,1.3593273162841797,0.8338595032691956,0.83829265832901,0.8914687633514404,0.9036697745323181
21,0.762592613697052,0.7698184251785278,0.9409620761871338,0.9468325972557068,0.5601414442062378,0.577462911605835,0.6604194045066833,0.6662920117378235,1.2374379634857178,1.232831597328186,1.3431764841079712,1.3538553714752197,0.8282734751701355,0.8322882652282715,0.8875615000724792,0.9004706740379333
22,0.7560221552848816,0.7461336851119995,0.9379593133926392,0.9391545653343201,0.5581790804862976,0.5661262273788452,0.6597793698310852,0.662230908870697,1.2336333990097046,1.2405527830123901,1.3422309160232544,1.3556671142578125,0.8281610012054443,0.8405501842498779,0.8880547881126404,0.9018116593360901
23,0.740805447101593,0.7440453171730042,0.9263916611671448,0.9465348720550537,0.5465875864028931,0.5636212825775146,0.6511518955230713,0.6643229722976685,1.2164186239242554,1.219006061553955,1.3301095962524414,1.3450409173965454,0.8167684674263,0.8248067498207092,0.8790088891983032,0.896129310131073
24,0.7411456108093262,0.7342192530632019,0.9278658032417297,0.9325053691864014,0.5484765768051147,0.5585122108459473,0.6527103185653687,0.6598028540611267,1.2190632820129395,1.2132078409194946,1.3340370655059814,1.3455082178115845,0.8184714317321777,0.8231434226036072,0.8818951845169067,0.8952109813690186
25,0.7293052077293396,0.736162006855011,0.9207633137702942,0.9422466158866882,0.5392158031463623,0.5623739957809448,0.6484119296073914,0.6634280681610107,1.2131969928741455,1.2138426303863525,1.3289368152618408,1.3435949087142944,0.8147881031036377,0.8232865929603577,0.8780174255371094,0.8954288959503174
