experiment,epoch,train_loss,val_loss
segres-dice_ce-full,0,1.2616288661956787,1.230627179145813
segres-dice_ce-full,1,1.14622163772583,1.1761126518249512
segres-dice_ce-full,2,1.100812315940857,1.1286063194274902
segres-dice_ce-full,3,1.075240969657898,1.0689748525619507
segres-dice_ce-full,4,1.0454485416412354,1.044046401977539
segres-dice_ce-full,5,1.0287553071975708,1.0141363143920898
segres-dice_ce-full,6,1.0032857656478882,1.0038740634918213
segres-dice_ce-full,7,0.9937105774879456,1.010167121887207
segres-dice_ce-full,8,0.99500572681427,0.9929722547531128
segres-dice_ce-full,9,0.992405891418457,1.0012681484222412
segres-dice_ce-full,10,0.9894535541534424,0.9680284261703491
segres-dice_ce-full,11,0.9546551704406738,0.9572556614875793
segres-dice_ce-full,12,0.9287086725234985,0.9149656891822815
segres-dice_ce-full,13,0.9051180481910706,0.9109352827072144
segres-dice_ce-full,14,0.879980206489563,0.8654828667640686
segres-dice_ce-full,15,0.8565939664840698,0.850112795829773
segres-dice_ce-full,16,0.8433120250701904,0.8381808996200562
segres-dice_ce-full,17,0.8171109557151794,0.8093453049659729
segres-dice_ce-full,18,0.7997140288352966,0.7983368635177612
segres-dice_ce-full,19,0.7871409058570862,0.7828487157821655
segres-dice_ce-full,20,0.7772237062454224,0.7657429575920105
segres-dice_ce-full,21,0.762592613697052,0.7698184251785278
segres-dice_ce-full,22,0.7560221552848816,0.7461336851119995
segres-dice_ce-full,23,0.740805447101593,0.7440453171730042
segres-dice_ce-full,24,0.7411456108093262,0.7342192530632019
segres-dice_ce-full,25,0.7293052077293396,0.736162006855011
segres-dice_ce-full,26,0.7378261089324951,0.7459779381752014
segres-dice_ce-full,27,0.7265583872795105,0.7340579628944397
segres-dice_ce-full,28,0.7368224263191223,0.7343400716781616
segres-dice_ce-full,29,0.7255262136459351,0.7331439256668091
segres-dice_ce-full,30,0.718489408493042,0.7191750407218933
segres-dice_ce-full,31,0.6978482604026794,0.6954985857009888
segres-dice_ce-full,32,0.6859018206596375,0.6805153489112854
segres-dice_ce-full,33,0.6592519879341125,0.6568112969398499
segres-dice_ce-full,34,0.6402137875556946,0.6427143812179565
segres-dice_ce-full,35,0.6223517060279846,0.6220141649246216
segres-dice_ce-full,36,0.6049350500106812,0.608500063419342
segres-dice_ce-full,37,0.5856748223304749,0.5853733420372009
segres-dice_ce-full,38,0.5666716694831848,0.5810608863830566
segres-dice_ce-full,39,0.560029149055481,0.5566199421882629
segres-dice_ce-full,40,0.5561276078224182,0.5446487665176392
segres-dice_ce-full,41,0.5515882968902588,0.5365539789199829
segres-dice_ce-full,42,0.5323226451873779,0.5240858197212219
segres-dice_ce-full,43,0.5194516777992249,0.5220652222633362
segres-dice_ce-full,44,0.5058395266532898,0.5226625204086304
segres-dice_ce-full,45,0.49548473954200745,0.4986414313316345
segres-dice_ce-full,46,0.48492926359176636,0.49362367391586304
segres-dice_ce-full,47,0.4774463474750519,0.48386672139167786
segres-dice_ce-full,48,0.4659912586212158,0.49087756872177124
segres-dice_ce-full,49,0.4629412293434143,0.4630129635334015
segres-dice_ce-full,50,0.4522108733654022,0.47125044465065
segres-dice_ce-full,51,0.4488653242588043,0.45926162600517273
segres-dice_ce-full,52,0.44414618611335754,0.45061224699020386
segres-dice_ce-full,53,0.4510020613670349,0.44943752884864807
segres-dice_ce-full,54,0.4398181438446045,0.4411543309688568
segres-dice_ce-full,55,0.4329525828361511,0.4436498284339905
segres-dice_ce-full,56,0.43672677874565125,0.4383508265018463
segres-dice_ce-full,57,0.4289796054363251,0.4359550476074219
segres-dice_ce-full,58,0.4192024767398834,0.43538254499435425
segres-dice_ce-full,59,0.41535496711730957,0.43322882056236267
segres-dice_ce-full,60,0.42298761010169983,0.43123847246170044
segres-dice_ce-full,61,0.42248108983039856,0.4338257610797882
segres-dice_ce-full,62,0.4185341000556946,0.4300726652145386
segres-dice_ce-full,63,0.4228598475456238,0.4305790066719055
segres-dice_ce-full,64,0.42862269282341003,0.4256298542022705
segres-dice_ce-full,65,0.4101484417915344,0.42585045099258423
segres-dice_ce-full,66,0.41845089197158813,0.4281940758228302
segres-dice_ce-full,67,0.4081338346004486,0.42439353466033936
segres-dice_ce-full,68,0.41148802638053894,0.43342068791389465
segres-dice_ce-full,69,0.4156357944011688,0.4266151785850525
segres-dice_ce-full,70,0.42238324880599976,0.423376202583313
segres-dice_ce-full,71,0.40578195452690125,0.4130028784275055
segres-dice_ce-full,72,0.4059546887874603,0.40367352962493896
segres-dice_ce-full,73,0.3876495659351349,0.39670372009277344
segres-dice_ce-full,74,0.378120094537735,0.4019376039505005
segres-dice_ce-full,75,0.3813798129558563,0.39090588688850403
segres-dice_ce-full,76,0.3680919408798218,0.38159704208374023
segres-dice_ce-full,77,0.3762826919555664,0.3854430317878723
segres-dice_ce-full,78,0.3701614439487457,0.36735063791275024
segres-dice_ce-full,79,0.36690717935562134,0.3784060776233673
segres-dice_ce-full,80,0.35724493861198425,0.37275430560112
segres-dice_ce-full,81,0.3456331193447113,0.3705308139324188
segres-dice_ce-full,82,0.35306617617607117,0.3615964949131012
segres-dice_ce-full,83,0.34110018610954285,0.3592579960823059
segres-dice_ce-full,84,0.3355133533477783,0.3506312966346741
segres-dice_ce-full,85,0.33838823437690735,0.34715670347213745
segres-dice_ce-full,86,0.3319855034351349,0.34407487511634827
segres-dice_ce-full,87,0.32989007234573364,0.3498902916908264
segres-dice_ce-full,88,0.33408036828041077,0.3417518734931946
